date_id,precipitation,temp_max,temp_min,wind,humidity,pressure,solar_radiation,visibility,weather_id,cloudiness_id,estacion_id,date,estacion,weather,cloudiness
29,25.22,30.91,4.83,5.9,86.33,1048.96,246.42,1.4,4,1,1,2000-09-24,Otoño,fog,parcialmente nublado
30,37.53,27.15,6.54,4.73,41.7,991.03,1088.62,18.66,3,2,4,2018-06-10,Verano,cloudy,despejado
31,49.85,23.4,8.25,3.56,43.23,1008.51,472.06,7.43,2,1,4,2005-07-11,Verano,rain,parcialmente nublado
32,20.05,31.3,15.99,2.2,88.01,1038.27,378.63,14.83,2,1,1,1982-09-20,Otoño,rain,parcialmente nublado
33,33.75,14.78,1.98,5.35,46.09,988.83,813.6,4.87,1,2,1,2010-09-14,Otoño,storm,despejado
34,24.32,19.89,4.47,4.11,82.42,990.73,967.71,18.2,2,2,2,1960-04-21,Primavera,rain,despejado
35,15.16,29.59,5.28,3.78,84.98,1018.53,850.9,18.58,2,2,3,1989-01-27,Invierno,rain,despejado
36,21.83,25.77,0.13,4.5,79.18,983.67,52.12,16.49,3,3,3,2005-01-25,Invierno,cloudy,cubierto
37,28.5,21.95,-5.02,5.21,65.56,1024.4,1196.32,19.95,1,2,3,1970-01-20,Invierno,storm,despejado
38,6.29,26.79,4.14,3.87,85.19,999.6,340.28,18.62,3,1,1,2023-09-29,Otoño,cloudy,parcialmente nublado
39,47.04,33.5,1.9,6.82,51.47,1021.07,998.58,4.28,1,2,1,2002-11-15,Otoño,storm,despejado
40,55.22,21.02,14.71,8.06,70.16,1014.82,1131.73,11.02,1,2,3,1992-02-21,Invierno,storm,despejado
41,44.09,4.55,-1.31,1.4,46.62,1040.28,1020.43,0.06,2,2,2,1996-03-13,Primavera,rain,despejado
42,17.81,12.51,-6.78,5.91,61.73,996.38,1041.1,6.36,1,2,2,1996-03-01,Primavera,storm,despejado
43,10.7,-0.69,-2.25,0.43,84.9,994.25,274.15,15.34,2,1,2,2016-05-08,Primavera,rain,parcialmente nublado
44,47.21,5.69,-1.77,7.21,92.88,1001.98,29.26,6.12,1,1,2,1994-03-27,Primavera,storm,parcialmente nublado
45,46.98,35.1,-5.34,1.86,87.19,1048.96,103.22,15.99,2,1,1,1987-11-02,Otoño,rain,parcialmente nublado
46,32.78,28.54,2.87,5.15,71.22,1021.33,991.73,9.5,3,2,2,1984-03-08,Primavera,cloudy,despejado
47,18.58,21.97,11.09,8.44,61.33,1007.46,578.93,10.94,1,1,2,1996-04-17,Primavera,storm,parcialmente nublado
48,40.85,18.27,-4.47,9.18,91.49,1026.96,416.94,18.19,1,1,4,2014-06-02,Verano,storm,parcialmente nublado
49,31.96,15.46,3.15,5.71,44.36,1012.69,246.3,15.54,3,1,1,2014-11-19,Otoño,cloudy,parcialmente nublado
50,23.06,12.65,10.76,2.24,72.65,987.15,877.5,19.07,2,2,1,1967-10-24,Otoño,rain,despejado
51,16.85,0.78,-3.3,7.08,85.57,1026.66,1112.27,6.47,1,2,1,1968-09-14,Otoño,storm,despejado
52,21.36,14.31,9.5,0.7,37.9,1026.91,1061.6,17.01,2,2,1,1985-09-13,Otoño,rain,despejado
53,32.56,17.43,5.16,0.65,34.85,986.13,888.08,5.02,2,2,2,1970-05-01,Primavera,rain,despejado
54,1.15,19.82,11.08,2.86,52.33,1019.28,707.81,17.47,3,1,4,1993-07-30,Verano,cloudy,parcialmente nublado
55,31.06,27.18,-6.99,5.16,71.74,1001.21,191.01,14.84,1,1,1,2006-09-02,Otoño,storm,parcialmente nublado
56,18.16,11.46,-4.92,0.55,58.22,990.55,1152.07,16.95,2,2,4,2003-06-30,Verano,rain,despejado
57,31.08,0.2,-1.56,3.74,47.6,994.93,485.92,8.69,2,1,4,1966-08-11,Verano,rain,parcialmente nublado
58,25.13,21.41,3.34,9.25,55.6,1008.62,397.0,11.7,1,1,4,1957-08-13,Verano,storm,parcialmente nublado
59,19.62,16.6,15.74,3.48,70.05,1033.4,996.8,14.88,2,2,4,1961-07-31,Verano,rain,despejado
60,35.51,10.13,8.5,1.98,74.57,988.08,804.21,10.23,3,2,3,2018-01-10,Invierno,cloudy,despejado
61,51.39,3.66,1.27,0.47,87.1,991.74,897.43,3.26,2,2,4,2024-06-01,Verano,rain,despejado
62,1.91,21.79,5.92,4.67,54.14,994.81,397.69,3.12,3,1,3,2018-01-13,Invierno,cloudy,parcialmente nublado
63,51.47,27.18,17.11,2.73,70.01,1035.55,206.39,16.86,2,1,4,2021-07-21,Verano,rain,parcialmente nublado
64,0.03,6.71,1.99,5.57,34.52,990.44,160.47,3.57,3,1,3,1981-01-31,Invierno,cloudy,parcialmente nublado
65,26.18,20.9,-0.5,3.86,95.78,1039.27,25.6,1.66,4,1,3,2000-12-04,Invierno,fog,parcialmente nublado
66,52.33,35.1,-2.99,2.15,58.81,984.81,374.07,12.07,2,1,4,2013-07-22,Verano,rain,parcialmente nublado
67,32.24,23.73,-4.45,3.15,76.91,1033.54,1113.45,19.25,3,2,1,1983-11-14,Otoño,cloudy,despejado
68,12.14,12.36,-5.91,4.14,93.41,1034.39,712.64,10.86,2,1,3,1996-01-20,Invierno,rain,parcialmente nublado
69,33.19,17.46,6.08,0.56,94.51,1048.6,608.4,14.61,2,1,4,1969-06-23,Verano,rain,parcialmente nublado
70,55.75,11.45,9.8,3.73,36.2,1042.95,155.5,5.53,2,1,4,1962-08-10,Verano,rain,parcialmente nublado
71,47.01,3.35,2.48,6.36,95.71,1030.7,903.12,11.58,1,2,2,1985-05-04,Primavera,storm,despejado
72,43.74,1.21,-3.45,7.44,95.09,1047.29,1069.55,5.7,1,2,1,1982-09-03,Otoño,storm,despejado
73,45.12,3.1,-0.47,4.67,55.56,992.34,713.83,9.1,2,1,1,2020-10-06,Otoño,rain,parcialmente nublado
74,12.73,24.41,10.94,8.69,57.34,1034.09,478.17,19.84,1,1,2,2020-03-29,Primavera,storm,parcialmente nublado
75,1.2,17.04,7.64,7.19,36.55,1026.36,305.06,18.25,3,1,3,1969-02-05,Invierno,cloudy,parcialmente nublado
76,49.5,3.65,-0.38,3.44,36.62,1039.01,819.78,0.85,2,2,1,2005-09-17,Otoño,rain,despejado
77,51.9,13.53,8.18,0.87,46.21,1017.57,227.14,3.4,2,1,1,2018-11-23,Otoño,rain,parcialmente nublado
78,23.27,3.24,1.56,1.45,59.04,1033.88,943.06,2.22,2,2,3,1993-02-16,Invierno,rain,despejado
79,10.73,31.43,3.99,7.73,32.43,980.38,832.19,11.22,1,2,3,1973-02-11,Invierno,storm,despejado
80,25.72,25.21,-1.98,1.83,48.06,1005.19,819.29,18.73,2,2,3,2019-12-28,Invierno,rain,despejado
81,32.57,25.38,4.7,8.71,52.68,1015.87,299.85,11.06,1,1,2,2009-03-21,Primavera,storm,parcialmente nublado
82,9.96,22.07,12.06,3.11,96.22,1010.59,146.61,12.84,3,1,2,1992-03-14,Primavera,cloudy,parcialmente nublado
83,1.41,32.45,-4.94,8.43,71.88,1007.58,1117.56,14.1,3,2,3,1982-01-11,Invierno,cloudy,despejado
84,1.23,21.44,1.07,6.48,55.88,1024.11,624.75,19.42,3,1,2,1990-05-05,Primavera,cloudy,parcialmente nublado
85,1.05,10.43,7.08,4.53,41.21,1002.85,823.34,6.57,3,2,4,1987-07-28,Verano,cloudy,despejado
86,0.85,5.76,1.96,4.26,88.96,982.63,64.46,19.1,3,3,3,1995-12-17,Invierno,cloudy,cubierto
87,0.64,1.09,-3.15,3.99,72.68,998.13,151.52,18.5,3,1,3,1991-02-23,Invierno,cloudy,parcialmente nublado
88,18.6,33.47,14.64,2.09,98.51,1019.16,785.43,12.72,2,1,2,2020-03-27,Primavera,rain,parcialmente nublado
89,9.04,14.79,-2.57,6.24,33.19,1006.56,221.02,1.34,3,1,4,1971-08-29,Verano,cloudy,parcialmente nublado
90,25.61,1.5,-2.44,2.83,88.31,1024.37,42.69,18.15,2,1,2,2002-04-25,Primavera,rain,parcialmente nublado
91,27.41,15.51,-2.57,6.09,87.84,1020.65,840.63,13.35,3,2,3,2022-12-23,Invierno,cloudy,despejado
92,29.2,29.52,-2.7,9.35,63.19,985.63,554.38,7.34,1,1,2,1961-05-27,Primavera,storm,parcialmente nublado
93,46.98,27.48,8.71,1.51,36.25,1026.39,427.01,8.95,2,1,4,2003-07-19,Verano,rain,parcialmente nublado
94,32.42,35.26,10.6,5.4,36.03,1040.44,24.93,6.43,1,1,2,2011-05-15,Primavera,storm,parcialmente nublado
95,9.58,33.15,-5.19,8.18,50.27,1050.0,540.83,6.1,3,1,1,2005-09-20,Otoño,cloudy,parcialmente nublado
96,6.72,21.2,1.7,4.93,69.33,992.32,194.54,13.33,3,1,3,2019-01-31,Invierno,cloudy,parcialmente nublado
97,3.86,9.25,8.6,1.68,50.98,1018.57,726.04,8.62,3,1,2,1968-05-08,Primavera,cloudy,parcialmente nublado
98,39.89,13.27,-5.23,3.42,79.39,1007.88,106.02,1.63,2,1,2,1996-05-12,Primavera,rain,parcialmente nublado
99,31.45,22.65,0.19,7.72,45.71,1041.71,314.02,6.15,1,1,4,1982-08-28,Verano,storm,parcialmente nublado
100,36.41,17.65,8.92,2.21,85.72,1007.18,669.21,2.38,2,1,1,1972-11-02,Otoño,rain,parcialmente nublado
101,35.75,10.86,6.03,1.49,86.19,1041.58,345.43,13.17,2,1,1,2020-11-06,Otoño,rain,parcialmente nublado
102,52.5,27.77,-3.79,2.75,39.8,1026.91,1175.95,15.5,2,2,1,2011-09-23,Otoño,rain,despejado
103,33.85,2.09,2.01,2.78,53.21,981.37,1182.43,13.2,2,2,4,2018-07-27,Verano,rain,despejado
104,1.6,25.61,9.13,7.27,79.59,996.84,689.4,6.58,3,1,1,2001-11-14,Otoño,cloudy,parcialmente nublado
105,9.81,4.49,0.19,5.96,37.49,1021.8,311.15,3.38,3,1,2,1981-05-18,Primavera,cloudy,parcialmente nublado
106,9.12,18.99,-0.11,4.45,41.26,984.18,397.35,14.11,3,1,2,1997-05-26,Primavera,cloudy,parcialmente nublado
107,8.43,33.49,-0.4,2.95,90.28,990.92,749.16,18.55,3,1,3,1974-12-07,Invierno,cloudy,parcialmente nublado
108,48.68,15.66,8.9,7.38,71.26,1021.91,643.12,0.35,1,1,3,1988-01-18,Invierno,storm,parcialmente nublado
109,3.88,20.68,9.76,4.93,89.74,998.34,744.99,5.65,3,1,1,1970-10-29,Otoño,cloudy,parcialmente nublado
110,25.09,19.72,11.37,2.28,45.17,1028.29,92.88,11.34,2,1,3,2003-01-03,Invierno,rain,parcialmente nublado
111,33.04,18.63,6.28,4.05,59.62,1005.49,269.54,10.78,3,1,3,1970-02-18,Invierno,cloudy,parcialmente nublado
112,41.0,17.55,1.2,5.82,39.25,981.6,335.92,15.75,1,1,1,1962-11-26,Otoño,storm,parcialmente nublado
113,46.87,9.43,4.2,0.75,79.29,1026.29,286.3,13.92,2,1,1,1985-10-29,Otoño,rain,parcialmente nublado
114,45.22,27.53,2.85,6.07,31.26,1009.42,346.91,14.61,1,1,4,1974-07-24,Verano,storm,parcialmente nublado
115,30.29,19.79,1.55,5.17,81.44,1028.96,1066.94,11.0,3,2,3,1976-12-05,Invierno,cloudy,despejado
116,15.35,12.06,0.25,4.27,38.5,1029.81,617.88,14.01,2,1,2,1961-04-26,Primavera,rain,parcialmente nublado
117,50.85,28.59,13.18,4.74,38.08,1018.59,717.43,2.1,2,1,2,1975-05-23,Primavera,rain,parcialmente nublado
118,35.1,24.07,7.07,4.62,94.0,1012.05,297.93,17.72,3,1,1,2014-09-29,Otoño,cloudy,parcialmente nublado
119,19.35,19.55,0.97,4.49,93.95,1026.83,627.29,13.9,3,1,1,1974-11-21,Otoño,cloudy,parcialmente nublado
120,3.6,15.03,-5.14,4.36,92.74,996.36,1161.49,18.75,3,2,4,1967-08-29,Verano,cloudy,despejado
121,19.53,17.48,-2.02,6.9,84.21,1039.34,1069.52,17.8,3,2,2,1992-05-21,Primavera,cloudy,despejado
122,35.46,19.92,1.11,9.43,80.58,997.42,503.59,19.88,1,1,1,1993-10-14,Otoño,storm,parcialmente nublado
123,6.01,18.38,6.48,4.91,72.89,994.42,551.46,12.46,3,1,2,1997-04-16,Primavera,cloudy,parcialmente nublado
124,17.35,20.73,1.92,5.85,88.59,1046.23,350.05,7.35,1,1,3,1969-01-25,Invierno,storm,parcialmente nublado
125,35.06,17.27,13.43,1.5,53.01,996.79,587.69,18.77,2,1,2,1996-05-30,Primavera,rain,parcialmente nublado
126,22.67,19.75,5.68,2.11,86.5,1022.42,995.9,16.47,3,2,2,1987-03-05,Primavera,cloudy,despejado
127,10.29,22.24,-2.08,2.72,49.92,994.57,387.17,10.12,2,1,3,2010-01-21,Invierno,rain,parcialmente nublado
128,19.64,6.07,4.75,0.55,96.4,984.81,303.89,0.41,2,3,4,1973-06-18,Verano,rain,cubierto
129,18.22,30.96,12.42,6.22,60.62,989.08,1061.02,1.15,1,2,4,1987-07-04,Verano,storm,despejado
130,28.15,26.58,13.26,7.99,54.96,999.85,382.5,2.79,1,1,2,1956-03-19,Primavera,storm,parcialmente nublado
131,4.89,27.11,-3.77,8.02,52.74,1036.85,775.73,13.17,3,1,1,1996-10-21,Otoño,cloudy,parcialmente nublado
132,37.6,22.18,-2.65,3.17,33.34,1041.99,458.23,14.68,2,1,1,2014-09-15,Otoño,rain,parcialmente nublado
133,51.43,6.95,-6.47,4.86,52.55,1042.69,712.44,13.2,2,1,3,1973-02-03,Invierno,rain,parcialmente nublado
134,42.62,10.66,8.44,5.59,71.16,1022.68,1021.34,5.02,1,2,2,1962-03-15,Primavera,storm,despejado
135,30.33,7.39,4.76,6.77,72.47,989.0,485.75,11.46,3,3,3,1988-12-06,Invierno,cloudy,cubierto
136,18.03,4.13,1.08,7.95,64.48,1041.69,340.02,17.26,3,1,3,2003-12-22,Invierno,cloudy,parcialmente nublado
137,5.74,0.86,-2.61,9.14,50.55,1030.86,907.57,14.62,3,2,2,1990-04-15,Primavera,cloudy,despejado
138,55.13,1.95,0.68,2.9,34.04,1049.71,485.57,8.04,2,1,4,2019-08-22,Verano,rain,parcialmente nublado
139,18.4,13.17,3.75,8.29,81.74,990.8,600.58,12.5,1,1,1,2001-09-13,Otoño,storm,parcialmente nublado
140,18.55,31.71,4.92,1.95,71.74,1040.38,208.53,14.25,2,1,1,1997-09-02,Otoño,rain,parcialmente nublado
141,49.71,10.91,7.66,7.14,37.54,998.25,1193.83,14.7,1,2,2,2004-05-18,Primavera,storm,despejado
142,39.62,-0.85,-6.56,0.87,95.84,1030.04,239.73,5.43,2,1,2,1956-05-17,Primavera,rain,parcialmente nublado
143,8.5,19.46,-3.09,2.8,78.73,1037.6,555.91,14.7,3,1,4,1956-06-11,Verano,cloudy,parcialmente nublado
144,32.24,11.14,7.36,7.7,72.1,990.89,856.17,17.64,1,2,1,1974-10-08,Otoño,storm,despejado
145,20.28,29.09,5.54,7.05,66.74,1006.89,468.2,9.38,1,1,1,1994-11-30,Otoño,storm,parcialmente nublado
146,19.78,16.81,2.6,7.3,91.79,1010.71,354.58,15.39,3,1,2,2022-03-16,Primavera,cloudy,parcialmente nublado
147,19.29,4.53,-0.34,7.54,57.48,1026.76,562.75,16.52,1,1,4,1970-08-09,Verano,storm,parcialmente nublado
148,24.42,2.62,2.32,7.74,57.89,987.29,978.15,4.19,1,2,3,1963-01-30,Invierno,storm,despejado
149,43.3,22.6,-3.5,7.35,72.15,1015.23,822.42,12.96,1,2,1,1959-11-08,Otoño,storm,despejado
150,26.67,14.48,5.01,6.49,49.39,1037.98,282.04,12.62,1,1,4,1966-06-25,Verano,storm,parcialmente nublado
151,24.45,30.5,-3.46,4.89,50.02,1038.9,954.75,5.86,2,2,4,2005-07-21,Verano,rain,despejado
152,1.12,24.3,3.02,7.48,47.08,1046.75,796.32,17.73,3,1,4,1965-08-18,Verano,cloudy,parcialmente nublado
153,25.45,7.62,0.75,6.84,33.51,1022.53,1036.15,16.32,1,2,2,2008-04-28,Primavera,storm,despejado
154,11.15,25.52,-6.43,1.05,36.49,1031.86,911.67,13.09,2,2,3,1960-02-02,Invierno,rain,despejado
155,22.63,13.96,1.08,4.1,42.61,1018.78,567.17,17.88,2,1,2,2009-05-17,Primavera,rain,parcialmente nublado
156,15.86,4.03,2.1,9.14,72.45,1047.05,1091.11,18.2,1,2,2,2009-03-12,Primavera,storm,despejado
157,36.41,33.02,16.29,8.06,77.24,982.68,16.34,16.78,1,3,3,1964-12-06,Invierno,storm,cubierto
158,13.43,-0.67,-2.38,3.12,38.34,1041.79,745.64,0.56,2,1,4,1986-06-08,Verano,rain,parcialmente nublado
159,38.02,6.25,2.75,7.76,70.5,1018.49,637.13,13.5,1,1,3,2013-12-13,Invierno,storm,parcialmente nublado
160,26.23,5.64,2.19,5.77,62.35,1035.7,430.04,17.5,3,1,3,1968-01-22,Invierno,cloudy,parcialmente nublado
161,14.43,5.04,1.64,3.78,38.01,992.03,494.06,17.55,3,1,4,1995-06-17,Verano,cloudy,parcialmente nublado
162,2.64,4.44,1.08,1.8,72.2,1034.76,292.62,19.95,3,1,2,1982-04-26,Primavera,cloudy,parcialmente nublado
163,17.99,6.96,-0.84,3.07,67.29,1027.63,533.17,6.99,3,1,4,1964-08-07,Verano,cloudy,parcialmente nublado
164,33.33,9.49,-2.76,4.34,36.01,991.68,796.3,7.7,2,1,3,1970-01-07,Invierno,rain,parcialmente nublado
165,20.92,6.69,-1.01,4.22,39.4,1033.03,614.94,10.63,3,1,2,1958-04-04,Primavera,cloudy,parcialmente nublado
166,8.51,3.89,0.73,4.1,37.78,1007.26,912.88,18.0,3,2,2,2009-03-17,Primavera,cloudy,despejado
167,18.28,4.0,0.34,5.03,84.93,1001.08,1129.62,8.79,3,2,3,2023-02-26,Invierno,cloudy,despejado
168,28.05,4.12,-0.06,5.97,55.71,989.93,877.75,1.89,1,2,1,1986-09-26,Otoño,storm,despejado
169,32.45,13.33,9.5,4.55,84.98,1018.64,318.73,14.83,2,1,1,2013-09-20,Otoño,rain,parcialmente nublado
170,29.35,11.94,6.94,3.01,86.66,1031.91,983.28,12.05,3,2,1,2018-10-07,Otoño,cloudy,despejado
171,26.25,10.54,4.39,1.46,74.31,984.61,891.92,10.74,2,2,2,1992-03-18,Primavera,rain,despejado
172,10.19,-0.61,-4.57,9.21,55.23,1012.25,315.73,7.04,1,1,4,2023-06-30,Verano,storm,parcialmente nublado
173,5.14,7.87,0.77,7.98,44.72,1041.08,123.88,16.23,3,1,2,2021-05-11,Primavera,cloudy,parcialmente nublado
174,31.42,26.47,-0.91,3.28,68.69,991.86,814.5,3.73,2,2,3,1966-01-26,Invierno,rain,despejado
175,38.35,13.11,-7.0,2.79,41.39,1027.86,970.69,11.58,2,2,2,2011-04-25,Primavera,rain,despejado
176,43.64,19.3,-3.99,2.87,95.05,994.32,95.19,0.48,2,1,4,1989-07-25,Verano,rain,parcialmente nublado
177,24.01,6.41,-2.98,2.55,84.29,1020.14,1082.92,3.36,2,2,4,1961-07-29,Verano,rain,despejado
178,40.41,7.97,-0.4,0.74,74.93,1027.11,44.88,4.81,2,1,2,2001-03-19,Primavera,rain,parcialmente nublado
179,7.57,28.96,3.89,8.14,63.56,1010.63,774.28,16.7,3,1,1,2015-10-24,Otoño,cloudy,parcialmente nublado
180,9.04,20.07,3.68,8.16,52.39,1025.88,328.32,5.63,3,1,4,1989-06-27,Verano,cloudy,parcialmente nublado
181,10.52,11.18,3.48,8.18,94.5,992.01,124.39,0.14,1,1,3,2004-02-10,Invierno,storm,parcialmente nublado
182,6.09,12.23,-1.47,7.19,94.55,1006.15,206.57,0.85,4,1,1,1983-10-28,Otoño,fog,parcialmente nublado
183,43.12,10.28,7.2,7.94,95.93,1049.01,388.89,8.91,1,1,1,2014-11-03,Otoño,storm,parcialmente nublado
184,44.34,29.97,-6.32,2.9,99.52,1042.53,582.81,15.18,2,1,4,1959-07-30,Verano,rain,parcialmente nublado
185,52.94,16.21,1.9,2.15,39.04,1008.51,1125.88,7.38,2,2,1,1962-11-17,Otoño,rain,despejado
186,27.84,35.1,2.22,1.52,43.18,1019.56,855.42,12.37,2,2,2,1999-04-08,Primavera,rain,despejado
187,5.64,27.25,6.7,2.09,81.7,1008.05,368.6,1.71,4,1,1,2013-10-23,Otoño,fog,parcialmente nublado
188,53.14,0.44,-1.74,0.58,32.41,1010.82,496.04,6.34,2,1,3,1971-12-04,Invierno,rain,parcialmente nublado
189,50.02,32.07,16.46,7.35,48.89,989.6,438.24,15.19,1,1,4,2001-08-22,Verano,storm,parcialmente nublado
190,28.27,-0.35,-4.77,2.01,82.17,985.0,834.14,1.04,2,2,4,1976-07-22,Verano,rain,despejado
191,28.58,12.37,11.92,5.92,71.07,996.84,112.01,18.48,1,1,4,2020-08-26,Verano,storm,parcialmente nublado
192,11.98,27.27,6.37,2.45,40.88,1021.81,593.24,5.64,2,1,3,1985-02-09,Invierno,rain,parcialmente nublado
193,34.18,30.61,12.8,3.24,66.66,1023.37,547.89,11.9,2,1,3,2020-02-26,Invierno,rain,parcialmente nublado
194,13.03,21.34,16.53,4.99,95.4,987.28,172.16,4.69,2,3,2,1982-03-30,Primavera,rain,cubierto
195,5.16,18.58,8.42,8.4,87.85,989.33,401.71,16.63,3,3,4,1998-07-27,Verano,cloudy,cubierto
196,5.41,14.1,0.29,8.66,55.47,1002.59,138.58,4.68,3,1,3,1976-02-16,Invierno,cloudy,parcialmente nublado
197,41.08,35.13,-4.19,0.86,46.9,1005.37,104.85,16.55,2,1,4,1966-07-19,Verano,rain,parcialmente nublado
198,32.45,34.15,5.06,9.06,33.0,983.15,141.72,17.87,1,1,3,1988-01-11,Invierno,storm,parcialmente nublado
199,9.64,14.15,2.11,5.17,84.89,996.66,568.77,0.24,4,1,1,1977-11-29,Otoño,fog,parcialmente nublado
200,55.6,2.24,-5.95,6.94,40.14,1019.02,506.64,9.37,1,1,1,2017-09-03,Otoño,storm,parcialmente nublado
201,53.45,24.93,5.59,1.24,64.59,1031.73,572.19,14.4,2,1,2,2004-05-30,Primavera,rain,parcialmente nublado
202,54.11,27.01,5.6,1.46,78.43,993.14,512.54,11.76,3,1,1,1976-10-05,Otoño,cloudy,parcialmente nublado
203,54.77,29.1,5.61,1.68,31.47,994.95,1035.63,4.16,2,2,3,2003-12-05,Invierno,rain,despejado
204,24.33,28.9,-4.28,4.07,38.6,981.33,791.89,14.68,2,1,3,2008-02-21,Invierno,rain,parcialmente nublado
205,31.16,14.18,0.98,0.72,69.51,1026.11,1041.8,11.31,2,2,3,1977-02-18,Invierno,rain,despejado
206,23.72,14.41,2.82,3.87,69.98,1032.59,687.07,0.97,3,1,2,1967-03-30,Primavera,cloudy,parcialmente nublado
207,16.28,14.65,4.67,7.02,68.27,1032.55,625.1,12.99,1,1,3,2016-12-17,Invierno,storm,parcialmente nublado
208,28.36,9.57,1.25,5.34,67.03,1041.7,1026.6,10.53,3,2,3,1976-12-17,Invierno,cloudy,despejado
209,40.44,4.49,-2.17,3.65,38.18,1039.86,784.43,10.73,3,1,2,1981-05-09,Primavera,cloudy,parcialmente nublado
210,52.52,-0.59,-5.58,1.97,38.05,1036.73,376.16,18.7,2,1,1,1979-11-30,Otoño,rain,parcialmente nublado
211,0.47,8.59,3.74,6.07,37.99,992.47,418.78,5.67,3,1,4,1962-08-25,Verano,cloudy,parcialmente nublado
212,3.67,28.7,10.39,5.04,91.31,980.38,601.1,7.69,3,3,3,1983-12-21,Invierno,cloudy,cubierto
213,46.44,29.24,-0.41,4.63,88.49,1028.85,916.18,5.02,2,2,4,1957-06-10,Verano,rain,despejado
214,48.66,18.5,-6.57,5.03,75.39,1038.32,111.29,0.16,1,1,3,1967-02-08,Invierno,storm,parcialmente nublado
215,51.87,15.58,-4.27,4.72,93.85,1027.4,785.73,10.97,3,1,3,2000-01-31,Invierno,cloudy,parcialmente nublado
216,55.07,12.66,-1.96,4.4,72.71,999.92,664.84,9.78,2,1,4,2002-08-08,Verano,rain,parcialmente nublado
